ASV,ITT,IWS,STT,SWS,TTT,TWS
377d7350bf9d075cb558c563d06407c7,5,111,0,54,36,1733
277297d556cd1abee7d9101d84af6dc5,0,0,1123,157,11,191
7aba49a9aaf1d23175e2f6cc8fd9fe21,79,2,0,8,1268,0
c8721c9c63f71e3c588bb150f6c36dd5,459,116,0,0,514,0
46738758357b4119053adce37a36956f,91,782,0,0,46,408
ea1a23d1df885298f244796abc1d1805,121,101,323,27,741,22
a4c9078fa2ce313381cbcd7a0eebe32c,227,63,226,0,472,155
0df3d77bc1fda1018a16b45fed5e9ee1,25,417,446,30,90,330
f3a34ff671c9312ca9076c82d4d43720,55,0,165,186,816,0
aee369a4ec65ca76ff1b55ddd180c1ff,225,139,0,68,555,157
e92b1964a3a6996bfb1669485a171b81,214,280,0,0,742,0
ea525e61d374f03d32bc52b850be0402,0,0,1007,464,0,1
f4ff7f76850896c5c1bcd6931261882c,0,775,0,145,0,321
d99be7815183bf1d312baef4b5c4a1f3,866,33,0,0,23,0
06aaf3e47576cd45d812cab074e004a3,0,0,0,1349,0,0
9c477096d6bbbfe4c72080a0beda33fd,17,1049,0,0,31,213
5bedece60c98bccfd841425f9e2a613e,0,144,0,115,0,922
7a146a4930c5fe5139dc880fef44edad,253,75,20,149,261,361
a8df3585bec267d326495f5d3b5219f4,136,0,982,0,45,0
ef31263d3d95ce158cbc1e323966b0a5,0,1227,0,0,0,0
f3764b32d101c60c01fc6c59eede87df,0,0,0,1349,0,0
fc1b83cf7e32f815fbcd9059bf024f3d,0,0,117,1253,9,0
75f874eb256321aed62ee62da7a34bed,0,1040,0,0,0,68
8cb7d52915f3f52c65bad0730fb33815,0,0,0,0,0,1040
a3e45834484a386ee2fb923953f10371,651,22,0,220,122,27
f2b3655d3a810d4aa70e7f7352db11eb,716,161,0,0,40,0
1d145835e7f0188562322f4eefb02657,88,31,654,309,216,22
2be56b217a50e6c5d5eba4a43ba61bbd,0,0,208,171,0,799
596f187efa27fd0bca447ef4026fb201,0,8,0,1219,0,51
3fad7eda6dca61c77de1e304248b312c,0,1074,0,0,0,0
43e2703da4799e73d1552863fd34b9bb,0,0,1148,174,0,31
dc39d981d3f243cebf5e88f772a5ea00,0,859,0,0,0,256
6441af0d04b31f2b4e2585803324ec64,0,881,0,0,0,197
1710de7964f5848d73bd95e999ec2058,0,23,0,0,0,1114
1e7808d3462d49317c9bcbe880a8cbb3,0,0,1108,103,15,29
765437bf4bbecd8312ee3ca8f6b4cf6c,111,143,797,13,79,67
e6f373bbb27b9222d21d2fe25e598c51,0,594,0,0,0,763
07d888df7991a391a32bf0305b447287,101,762,0,82,163,13
f74a23038095f558d209d451c03c9b7e,214,159,0,192,444,97
578133582b6f121eede1131981bed8c7,296,69,0,0,764,0
114ec899a4f89a4c6da10741d0b8b5ac,0,0,0,1316,0,23
215747eb9630b029339c087da9b542a2,631,0,0,151,237,0
19ae497d8dea6ede36bded3ca4923d74,0,0,225,996,0,0
6b11029a780b6fd78fc82ae5c77092d3,136,213,0,36,469,165
31a0bba958f7e9af4016f1dce22393b2,0,562,0,60,0,455
197cac25851f42ea0811ba6eb3a4d044,303,461,0,0,245,0
a2691e312602ccb09e87bd8ee980ccd8,562,0,0,0,565,0
0f0e0bf1d023deca6278bafadfcb537c,0,0,1138,6,0,0
b48a188a24ed126894db7d73bd6617cc,0,4,906,198,0,32
5065c467af5d33f784d94c18973be71e,0,0,0,567,0,524
6bff09aba02723f24e0989e435f96f78,0,0,1073,120,0,0
16279d63c18f0ce497fac24287ac9ed8,0,10,554,356,180,139
1d54a4a5840f3672a8e2346c15d31117,14,1029,0,0,0,16
e0c7b8fa84edee5e76d9eb7ea420e789,14,0,763,74,272,0
53f5f1373d1590f08883c74880bd9a21,0,741,0,10,14,318
4957cc324c3800a6bca71bf79cc52864,1,578,11,6,0,514
e0be7ced02b0044e5b1f50b6d655741c,0,1103,0,0,0,52
9b9dace94d6d9af50544eee7fb5acbd5,37,0,942,38,73,44
d9f7d1bb4d654d0e3a2d06621a467d5a,377,94,0,0,552,48
1159b974d4095ac28646aa301721c07a,16,807,0,41,104,180
7ef6a6f0dfd650a93138c85eebf1b5c0,0,0,1144,0,0,0
2d860829e230fdb7acdf73c39edf7339,136,9,702,165,91,20
558e7711d4ded1688aa9766934b4c7ab,0,0,1165,65,0,0
6adc872145f2034b2b92891488c650c4,52,1,276,600,203,0
ca7da34b21fa0af1207b662911a568d9,0,0,208,636,308,0
e8724520788bb38a7f9d22c91318f016,159,57,319,110,406,100
98e6fd33ca09891a12ab7d8f7a45d198,505,181,7,0,91,84
22d66831c914db0f248b902048f49df8,0,0,1025,86,0,0
f928be6e34abd05a3b45cc3059be7798,437,7,0,0,397,6
fd08981d46aa064a38240161fff41b26,0,936,0,0,0,149
2debab10d6e37e8c60a4f87ed4763a4c,37,48,24,50,83,779
c686680f53f53afb43507dc6e8ee6923,18,602,0,0,21,512
1dfe07a8adc94d1371da23b4b86a947c,0,0,0,0,1088,0
4d56ab10677542b64bfd38155d4e3305,173,24,467,101,294,0
64d28ebff2a0334b2ddabe4c4dbe7515,248,572,19,0,0,171
a88398b34569196edbf61c8c808a0fd2,709,0,85,0,163,0
c51798dba7058bc85c6540bd63bdc011,428,0,0,656,47,0
92010d236c26f020284273bc2320f4d0,214,46,8,16,588,39
09da4f1df5bb13e946e337696e75d977,0,0,775,424,0,0
d1cc0f94717cb81a471577fb5cb0ccbe,0,0,653,600,0,0
3f42f5d9495cb141ff37e4857190a578,0,0,968,37,0,23
a071aa73b83faad98c967a1b2774df4a,0,80,0,43,0,854
51cf9d69f6077b7ba0298519a6cffdea,0,1007,0,0,0,0
b527dee3d9fdefb73e8633df9517e042,0,913,0,0,0,138
f32cb21b6c8e5fa53ace6fd599ac482b,18,711,0,0,226,130
4a5cf75f959f95005df0c73dc649cae2,341,0,276,73,314,0
ff612013855de66f78c77d85d9e2eddb,0,0,0,671,0,385
7876a5906e5be58d068237cd0b6ebb3c,276,0,0,178,573,0
2651bbe242103467a59a4144244139de,0,0,1101,97,0,0
7d539797e20c47c901d68ba294cd2089,340,38,0,0,506,0
c856e83fd500753d3d6723ca0ce6be7a,0,0,1022,21,0,7
ae1766c24708b70e2465dc44cdbdef6b,0,0,0,0,1111,0
